股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
665,0,1,-0.122085644,,
677,0,1,-0.229141179,,
683,0,1,-0.084528622,,
685,0,1,-0.092339445,,
686,0,1,-0.203451522,,
687,0,1,-0.226226652,,
700,0,1,-0.304925206,,
702,0,1,-0.243781773,,
712,0,1,-0.221880434,,
715,0,1,-0.177194327,,
721,0,1,-0.301657345,,
722,0,1,-0.266812192,,
727,0,1,-0.158934114,,
728,0,1,-0.276714108,,
733,0,1,-0.146328878,,
738,0,1,-0.211826721,,
751,0,1,-0.169762371,,
753,0,1,-0.222035348,,
777,0,1,-0.188943682,,
782,0,1,-0.265315036,,
783,0,1,-0.224722478,,
798,0,1,-0.106261782,,
809,0,1,-0.136374652,,
810,0,1,-0.283186402,,
815,0,1,-0.077829266,,
